adjmatrix, occ_original, z_score, avg_random, stdev_random
"000100100", 126, -19.415181655, 237.728000000, 5.754671884
"001100000", 250, -6.992027241, 344.880000000, 13.569741182
"001100010", 0, 0.000000000, 0.000000000, 0.000000000
"010100100", 0, 0.000000000, 0.000000000, 0.000000000
"010100110", 0, 0.000000000, 0.000000000, 0.000000000
"011000000", 168, -15.631377909, 277.860000000, 7.028171197
"011001000", 130, 36.470989018, 11.868000000, 3.239067631
"011100000", 0, 0.000000000, 0.000000000, 0.000000000
"011100010", 0, 0.000000000, 0.000000000, 0.000000000
"011100100", 0, 0.000000000, 0.000000000, 0.000000000
"011101000", 0, 0.000000000, 0.000000000, 0.000000000
"011101100", 0, 0.000000000, 0.000000000, 0.000000000
"011101110", 0, 0.000000000, 0.000000000, 0.000000000
