adjmatrix, occ_original, z_score, avg_random, stdev_random
"000100100", 1314284, 17.499376755, 1095496.792000000, 12502.571438120
"001100000", 2193156, 19.602060864, 1761019.503000000, 22045.462463991
"001100010", 4570, 14.965840137, 2730.573000000, 122.908368869
"010100100", 250393, -17.303112954, 418216.282000000, 9699.022507762
"010100110", 760, -27.366589980, 4716.164000000, 144.561817999
"011000000", 1142380, 22.087717714, 926158.236000000, 9789.230684875
"011001000", 12435, 4.839872381, 10478.178000000, 404.312726855
"011100000", 193759, -23.335169725, 360195.011000000, 7132.410561465
"011100010", 1709, -40.218746234, 8179.309000000, 160.877938917
"011100100", 16716, -8.095560369, 39036.408000000, 2757.117108918
"011101000", 666, -24.624502905, 3443.991000000, 112.814094593
"011101100", 255, -26.976784001, 5260.881000000, 185.562556302
"011101110", 9, -12.391659562, 1151.650000000, 92.211216283
