adjmatrix, occ_original, z_score, avg_random, stdev_random
"000100100", 281, -15.617144781, 872.378000000, 37.867229144
"001100000", 275, -16.608867758, 1357.858000000, 65.197580941
"001100010", 4, -5.543994420, 41.251000000, 6.719162608
"010100100", 368, 5.739585302, 166.767000000, 35.060546957
"010100110", 70, 17.493236817, 9.080000000, 3.482488726
"011000000", 166, -17.369351390, 615.945000000, 25.904536669
"011001000", 66, -5.457340098, 143.521000000, 14.204905432
"011100000", 206, 3.897160206, 113.284000000, 23.790656555
"011100010", 26, 2.824054639, 13.917000000, 4.278599937
"011100100", 61, 13.249252208, 7.080000000, 4.069663642
"011101000", 34, 10.778158043, 5.996000000, 2.598217607
"011101100", 66, 47.387598616, 1.535000000, 1.360377016
"011101110", 41, 200.662435031, 0.037000000, 0.204138856
