adjmatrix, occ_original, z_score, avg_random, stdev_random
"000100100", 4120488, 18.819338828, 3547856.348000000, 30427.830501268
"001100000", 7479660, 22.375188044, 6191366.551000000, 57576.876962285
"001100010", 13060, 24.098891719, 7451.219000000, 232.740205040
"010100100", 1666387, -18.305367731, 2046004.407000000, 20738.037747650
"010100110", 9171, -30.175625078, 18008.259000000, 292.860843051
"011000000", 4367190, 25.014639927, 3653066.863000000, 28548.207732623
"011001000", 50790, 24.084266461, 31795.998000000, 788.647726956
"011100000", 1502634, -27.902849961, 2025690.161000000, 18745.617803848
"011100010", 18031, -41.618425956, 31581.256000000, 325.583096639
"011100100", 189062, -11.991286816, 312045.347000000, 10256.059160911
"011101000", 9343, -25.405755023, 16232.990000000, 271.198001940
"011101100", 8975, -42.135420461, 26773.759000000, 422.417975310
"011101110", 802, -22.528502047, 5906.206000000, 226.566595036
