adjmatrix, occ_original, z_score, avg_random, stdev_random
"000100100", 126, -17.287918687, 237.743000000, 6.463646783
"001100000", 250, -6.564526408, 344.710000000, 14.427544977
"001100010", 0, 0.000000000, 0.000000000, 0.000000000
"010100100", 0, 0.000000000, 0.000000000, 0.000000000
"010100110", 0, 0.000000000, 0.000000000, 0.000000000
"011000000", 168, -15.078938559, 277.944000000, 7.291229391
"011001000", 130, 37.477554787, 11.844000000, 3.152713689
"011100000", 0, 0.000000000, 0.000000000, 0.000000000
"011100010", 0, 0.000000000, 0.000000000, 0.000000000
"011100100", 0, 0.000000000, 0.000000000, 0.000000000
"011101000", 0, 0.000000000, 0.000000000, 0.000000000
"011101100", 0, 0.000000000, 0.000000000, 0.000000000
"011101110", 0, 0.000000000, 0.000000000, 0.000000000
