adjmatrix, occ_original, z_score, avg_random, stdev_random
"000100100", 2399051, 21.970172220, 1984795.499000000, 18855.359750621
"001100000", 4988512, 27.317711769, 3855458.094000000, 41476.896586070
"001100010", 24997, 32.314876545, 13692.639000000, 349.819099080
"010100100", 1026839, -20.064687443, 1262416.980000000, 11740.924481116
"010100110", 11192, -26.236952747, 19989.184000000, 335.297474701
"011000000", 3946117, 29.185828588, 3214674.071000000, 25061.578320047
"011001000", 82031, 21.661703682, 56403.417000000, 1183.082520944
"011100000", 1119607, -31.452985361, 1671867.141000000, 17558.274188074
"011100010", 27244, -31.345861196, 39376.615000000, 387.056362049
"011100100", 142297, -13.575454729, 250906.047000000, 8000.398452339
"011101000", 13336, -26.660720389, 22638.451000000, 348.919716507
"011101100", 10352, -34.812604032, 31457.026000000, 606.246691021
"011101110", 799, -19.208237002, 5617.857000000, 250.874507612
