adjmatrix, occ_original, z_score, avg_random, stdev_random
"000100100", 2647, -56.574028564, 14089.636000000, 202.259522442
"001100000", 3006, -54.641188887, 26422.498000000, 428.550302015
"001100010", 5, -20.640889018, 646.439000000, 31.076132401
"010100100", 6017, 19.351635404, 2330.825000000, 190.483900872
"010100110", 550, 33.181354555, 109.283000000, 13.282067773
"011000000", 3324, -51.035223303, 14535.868000000, 219.688820275
"011001000", 391, -24.705725389, 2262.992000000, 75.771586160
"011100000", 6120, 17.602149574, 2501.718000000, 205.559098604
"011100010", 275, 2.971509826, 214.114000000, 20.489920469
"011100100", 3858, 142.449722983, 125.771000000, 26.200324731
"011101000", 399, 18.931397751, 121.158000000, 14.676253896
"011101100", 1297, 176.669340838, 26.165000000, 7.193296777
"011101110", 712, 953.067154948, 0.536000000, 0.746499338
