adjmatrix, occ_original, z_score, avg_random, stdev_random
"000100100", 93, -4.153686347, 150.490000000, 13.840717664
"001100000", 79, -4.744596093, 176.634000000, 20.577937105
"001100010", 2, -1.696266271, 6.444000000, 2.619871701
"010100100", 68, 2.607544582, 33.765000000, 13.129209845
"010100110", 7, 3.093367878, 2.126000000, 1.575628956
"011000000", 32, -4.466944365, 57.331000000, 5.670766844
"011001000", 11, -2.033995260, 21.333000000, 5.080149498
"011100000", 18, 1.158796557, 12.323000000, 4.899048037
"011100010", 4, 0.995623098, 2.437000000, 1.569871172
"011100100", 9, 5.537892252, 1.322000000, 1.386448065
"011101000", 2, 1.533445418, 0.727000000, 0.830156708
"011101100", 4, 6.090533643, 0.322000000, 0.603887970
"011101110", 2, 19.990249896, 0.010000000, 0.099548530
