adjmatrix, occ_original, z_score, avg_random, stdev_random
"000100100", 889, -13.530151773, 947.349000000, 4.312516295
"001100000", 293, -10.394396257, 371.940000000, 7.594476682
"001100010", 0, 0.000000000, 0.000000000, 0.000000000
"010100100", 0, 0.000000000, 0.000000000, 0.000000000
"010100110", 1, 15.771841998, 0.004000000, 0.063150519
"011000000", 11878, -11.078708526, 11952.240000000, 6.701142090
"011001000", 70, 12.964960347, 14.492000000, 4.281386022
"011100000", 18, 3.130074095, 1.245000000, 5.352908427
"011100010", 1, inf, 0.000000000, 0.000000000
"011100100", 0, 0.000000000, 0.000000000, 0.000000000
"011101000", 0, 0.000000000, 0.000000000, 0.000000000
"011101100", 0, 0.000000000, 0.000000000, 0.000000000
"011101110", 0, 0.000000000, 0.000000000, 0.000000000
