

		----------------------- K = 1 ---------------


Day 0 	#Susceptible = 9995 	#Infected = 5 (+0) 	#Recovered = 0 (+0)
Day 1 	#Susceptible = 9993 	#Infected = 7 (+2) 	#Recovered = 0 (+0)
Day 2 	#Susceptible = 9977 	#Infected = 22 (+16) 	#Recovered = 1 (+1)
Day 3 	#Susceptible = 9928 	#Infected = 68 (+49) 	#Recovered = 4 (+3)
Day 4 	#Susceptible = 9787 	#Infected = 203 (+141) 	#Recovered = 10 (+6)
Day 5 	#Susceptible = 9472 	#Infected = 506 (+315) 	#Recovered = 22 (+12)
Day 6 	#Susceptible = 8756 	#Infected = 1191 (+716) 	#Recovered = 53 (+31)
Day 7 	#Susceptible = 7626 	#Infected = 2242 (+1130) 	#Recovered = 132 (+79)
Day 8 	#Susceptible = 6181 	#Infected = 3520 (+1445) 	#Recovered = 299 (+167)
Day 9 	#Susceptible = 4727 	#Infected = 4744 (+1454) 	#Recovered = 529 (+230)
Day 10 	#Susceptible = 3432 	#Infected = 5684 (+1295) 	#Recovered = 884 (+355)
Day 11 	#Susceptible = 2481 	#Infected = 6192 (+951) 	#Recovered = 1327 (+443)
Day 12 	#Susceptible = 1738 	#Infected = 6487 (+743) 	#Recovered = 1775 (+448)
Day 13 	#Susceptible = 1245 	#Infected = 6509 (+493) 	#Recovered = 2246 (+471)
Day 14 	#Susceptible = 901 	#Infected = 6386 (+344) 	#Recovered = 2713 (+467)
Day 15 	#Susceptible = 679 	#Infected = 6172 (+222) 	#Recovered = 3149 (+436)
Day 16 	#Susceptible = 523 	#Infected = 5876 (+156) 	#Recovered = 3601 (+452)
Day 17 	#Susceptible = 415 	#Infected = 5591 (+108) 	#Recovered = 3994 (+393)
Day 18 	#Susceptible = 322 	#Infected = 5301 (+93) 	#Recovered = 4377 (+383)
Day 19 	#Susceptible = 259 	#Infected = 4953 (+63) 	#Recovered = 4788 (+411)
Day 20 	#Susceptible = 206 	#Infected = 4628 (+53) 	#Recovered = 5166 (+378)
Day 21 	#Susceptible = 177 	#Infected = 4336 (+29) 	#Recovered = 5487 (+321)
Day 22 	#Susceptible = 155 	#Infected = 4055 (+22) 	#Recovered = 5790 (+303)
Day 23 	#Susceptible = 136 	#Infected = 3763 (+19) 	#Recovered = 6101 (+311)
Day 24 	#Susceptible = 122 	#Infected = 3516 (+14) 	#Recovered = 6362 (+261)
Day 25 	#Susceptible = 106 	#Infected = 3254 (+16) 	#Recovered = 6640 (+278)
Day 26 	#Susceptible = 97 	#Infected = 3057 (+9) 	#Recovered = 6846 (+206)
Day 27 	#Susceptible = 88 	#Infected = 2848 (+9) 	#Recovered = 7064 (+218)
Day 28 	#Susceptible = 82 	#Infected = 2663 (+6) 	#Recovered = 7255 (+191)
Day 29 	#Susceptible = 78 	#Infected = 2480 (+4) 	#Recovered = 7442 (+187)
Day 30 	#Susceptible = 71 	#Infected = 2308 (+7) 	#Recovered = 7621 (+179)
Day 31 	#Susceptible = 69 	#Infected = 2148 (+2) 	#Recovered = 7783 (+162)
Day 32 	#Susceptible = 65 	#Infected = 1989 (+4) 	#Recovered = 7946 (+163)
Day 33 	#Susceptible = 62 	#Infected = 1844 (+3) 	#Recovered = 8094 (+148)
Day 34 	#Susceptible = 55 	#Infected = 1715 (+7) 	#Recovered = 8230 (+136)
Day 35 	#Susceptible = 52 	#Infected = 1575 (+3) 	#Recovered = 8373 (+143)
Day 36 	#Susceptible = 51 	#Infected = 1470 (+1) 	#Recovered = 8479 (+106)
Day 37 	#Susceptible = 49 	#Infected = 1368 (+2) 	#Recovered = 8583 (+104)
Day 38 	#Susceptible = 48 	#Infected = 1251 (+1) 	#Recovered = 8701 (+118)
Day 39 	#Susceptible = 46 	#Infected = 1158 (+2) 	#Recovered = 8796 (+95)
Day 40 	#Susceptible = 45 	#Infected = 1071 (+1) 	#Recovered = 8884 (+88)
Day 41 	#Susceptible = 43 	#Infected = 1001 (+2) 	#Recovered = 8956 (+72)
Day 42 	#Susceptible = 42 	#Infected = 936 (+1) 	#Recovered = 9022 (+66)
Day 43 	#Susceptible = 42 	#Infected = 879 (+0) 	#Recovered = 9079 (+57)
Day 44 	#Susceptible = 39 	#Infected = 821 (+3) 	#Recovered = 9140 (+61)
Day 45 	#Susceptible = 39 	#Infected = 772 (+0) 	#Recovered = 9189 (+49)
Day 46 	#Susceptible = 38 	#Infected = 713 (+1) 	#Recovered = 9249 (+60)
Day 47 	#Susceptible = 38 	#Infected = 666 (+0) 	#Recovered = 9296 (+47)
Day 48 	#Susceptible = 37 	#Infected = 606 (+1) 	#Recovered = 9357 (+61)
Day 49 	#Susceptible = 37 	#Infected = 567 (+0) 	#Recovered = 9396 (+39)
Day 50 	#Susceptible = 37 	#Infected = 530 (+0) 	#Recovered = 9433 (+37)
Day 51 	#Susceptible = 37 	#Infected = 502 (+0) 	#Recovered = 9461 (+28)
Day 52 	#Susceptible = 37 	#Infected = 470 (+0) 	#Recovered = 9493 (+32)
