

		----------------------- VACCINATED RATIO = 0.0 ---------------




		----------------------- K = 1 ---------------


Day 0 	#Susceptible = 9995 	#Infected = 5 (+0) 	#Recovered = 0 (+0)
Day 1 	#Susceptible = 9993 	#Infected = 7 (+2) 	#Recovered = 0 (+0)
Day 2 	#Susceptible = 9978 	#Infected = 22 (+15) 	#Recovered = 0 (+0)
Day 3 	#Susceptible = 9948 	#Infected = 52 (+30) 	#Recovered = 0 (+0)
Day 4 	#Susceptible = 9870 	#Infected = 128 (+78) 	#Recovered = 2 (+2)
Day 5 	#Susceptible = 9680 	#Infected = 310 (+190) 	#Recovered = 10 (+8)
Day 6 	#Susceptible = 9265 	#Infected = 701 (+415) 	#Recovered = 34 (+24)
Day 7 	#Susceptible = 8444 	#Infected = 1472 (+821) 	#Recovered = 84 (+50)
Day 8 	#Susceptible = 7155 	#Infected = 2668 (+1289) 	#Recovered = 177 (+93)
Day 9 	#Susceptible = 5660 	#Infected = 3970 (+1495) 	#Recovered = 370 (+193)
Day 10 	#Susceptible = 4236 	#Infected = 5102 (+1424) 	#Recovered = 662 (+292)
Day 11 	#Susceptible = 3041 	#Infected = 5927 (+1195) 	#Recovered = 1032 (+370)
Day 12 	#Susceptible = 2175 	#Infected = 6332 (+866) 	#Recovered = 1493 (+461)
Day 13 	#Susceptible = 1504 	#Infected = 6507 (+671) 	#Recovered = 1989 (+496)
Day 14 	#Susceptible = 1115 	#Infected = 6423 (+389) 	#Recovered = 2462 (+473)
Day 15 	#Susceptible = 829 	#Infected = 6258 (+286) 	#Recovered = 2913 (+451)
Day 16 	#Susceptible = 606 	#Infected = 6057 (+223) 	#Recovered = 3337 (+424)
Day 17 	#Susceptible = 466 	#Infected = 5753 (+140) 	#Recovered = 3781 (+444)
Day 18 	#Susceptible = 369 	#Infected = 5467 (+97) 	#Recovered = 4164 (+383)
Day 19 	#Susceptible = 293 	#Infected = 5156 (+76) 	#Recovered = 4551 (+387)
Day 20 	#Susceptible = 235 	#Infected = 4821 (+58) 	#Recovered = 4944 (+393)
Day 21 	#Susceptible = 177 	#Infected = 4524 (+58) 	#Recovered = 5299 (+355)
Day 22 	#Susceptible = 146 	#Infected = 4255 (+31) 	#Recovered = 5599 (+300)
Day 23 	#Susceptible = 132 	#Infected = 3969 (+14) 	#Recovered = 5899 (+300)
Day 24 	#Susceptible = 107 	#Infected = 3682 (+25) 	#Recovered = 6211 (+312)
Day 25 	#Susceptible = 99 	#Infected = 3448 (+8) 	#Recovered = 6453 (+242)
Day 26 	#Susceptible = 84 	#Infected = 3203 (+15) 	#Recovered = 6713 (+260)
Day 27 	#Susceptible = 76 	#Infected = 3004 (+8) 	#Recovered = 6920 (+207)
Day 28 	#Susceptible = 67 	#Infected = 2806 (+9) 	#Recovered = 7127 (+207)
Day 29 	#Susceptible = 61 	#Infected = 2626 (+6) 	#Recovered = 7313 (+186)
Day 30 	#Susceptible = 53 	#Infected = 2449 (+8) 	#Recovered = 7498 (+185)
Day 31 	#Susceptible = 50 	#Infected = 2281 (+3) 	#Recovered = 7669 (+171)
Day 32 	#Susceptible = 46 	#Infected = 2121 (+4) 	#Recovered = 7833 (+164)
Day 33 	#Susceptible = 41 	#Infected = 1981 (+5) 	#Recovered = 7978 (+145)
Day 34 	#Susceptible = 41 	#Infected = 1836 (+0) 	#Recovered = 8123 (+145)
Day 35 	#Susceptible = 39 	#Infected = 1693 (+2) 	#Recovered = 8268 (+145)
Day 36 	#Susceptible = 39 	#Infected = 1563 (+0) 	#Recovered = 8398 (+130)
Day 37 	#Susceptible = 38 	#Infected = 1433 (+1) 	#Recovered = 8529 (+131)
Day 38 	#Susceptible = 38 	#Infected = 1330 (+0) 	#Recovered = 8632 (+103)
Day 39 	#Susceptible = 36 	#Infected = 1242 (+2) 	#Recovered = 8722 (+90)
Day 40 	#Susceptible = 36 	#Infected = 1151 (+0) 	#Recovered = 8813 (+91)
Day 41 	#Susceptible = 32 	#Infected = 1057 (+4) 	#Recovered = 8911 (+98)
Day 42 	#Susceptible = 31 	#Infected = 979 (+1) 	#Recovered = 8990 (+79)
Day 43 	#Susceptible = 31 	#Infected = 905 (+0) 	#Recovered = 9064 (+74)
Day 44 	#Susceptible = 29 	#Infected = 838 (+2) 	#Recovered = 9133 (+69)
Day 45 	#Susceptible = 29 	#Infected = 784 (+0) 	#Recovered = 9187 (+54)
Day 46 	#Susceptible = 29 	#Infected = 730 (+0) 	#Recovered = 9241 (+54)
Day 47 	#Susceptible = 28 	#Infected = 687 (+1) 	#Recovered = 9285 (+44)
Day 48 	#Susceptible = 28 	#Infected = 646 (+0) 	#Recovered = 9326 (+41)
Day 49 	#Susceptible = 28 	#Infected = 602 (+0) 	#Recovered = 9370 (+44)
Day 50 	#Susceptible = 28 	#Infected = 566 (+0) 	#Recovered = 9406 (+36)
Day 51 	#Susceptible = 28 	#Infected = 529 (+0) 	#Recovered = 9443 (+37)
Day 52 	#Susceptible = 28 	#Infected = 488 (+0) 	#Recovered = 9484 (+41)
